,user,averages_distance,variances_distance
215,5jsdms7r70gsaswnvu47argzl,0.31,259.3786663964029
216,alexaddea,0.34,741.7163278276663
217,p1gkle9p89w1xldoq3ytk2jsp,0.79,912.931565281425
218,musicgateway,0.24,243.6246256572713
219,kj8hk1v3jn0nblywelncygmer,0.23,351.85580332253465
220,1178960486,0.25,314.34795220835554
221,adamscottheaton,0.95,948.2331849701108
222,1121901622,0.43,333.1248062265915
223,jippiex2k,0.86,801.7749061699785
224,barrysoriginalblend,0.49,338.7410971224288
225,64yaq4gfzb3mvay768i08m832,0.88,615.5308873543551
226,orel1qnhcce3d3arl4hnqzfo1,0.3,199.5218390601918
227,t7v6a4k2fp6u6rvmeeniq6p0d,0.47,385.57943436226304
228,22cz47c9z49ai9s56lcafsehz,0.2,70.35602147357869
229,9ixmfw4vs0379fns11sqss9r6,0.26,112.34292828716788
230,zk4059crqm1bjazueppcnqqud,0.36,479.5838871045471
231,azzronulation,0.77,546.4170438106696
232,ir59laifeuuq8cvzexyeijqgp,0.46,435.1005961098913
233,22xa2tiffh6n73ihdknqm4eyq,0.87,475.7843317815162
234,1186945963,0.77,531.6062369213058
235,21ofwii6rsoktylwphluomvhy,0.54,450.13655025497854
236,kepchullah,0.23,409.29333427433767
237,1257891495,0.13,186.66960813211773
238,rrkrumins,0.27,219.7535367705056
239,risebaileyrise,0.28,144.62818927797562
240,1240053425,0.67,413.3305213172769
241,almatheatre,0.56,473.4632935301173
242,nibrneeeq8zb4cwfqp3wf5ytv,0.27,508.91060969941805
243,1171170259,0.24,618.0943382345641
244,1296517841,0.29,178.58517727454492
245,pmfojcu9nw36zvdwrgoviyxrd,0.16,278.25634478306995
0,u3t2bcz98s7sfim34svvws3iy,0.26,283.78054304505383
1,g3rortuxyqju93m32z3z0s9mf,0.18,214.12662375930358
2,cashmase,0.15,161.50517809618518
3,hlx9anbs73d0r6v06qwdq0gsn,0.21,483.9907593032517
4,21kky6m3d7map5zqd4g47uarq,0.26,421.824395730032
5,122881276,0.24,178.73818286004087
6,2l4ejc2yr4y4owuhr3k8a0aac,0.28,200.44729122962295
7,xha86tipmns6phvvoiuf67gsy,0.31,109.9829681714779
8,noob.scw,0.2,82.83343241221081
